cate1,cate2,Q,A
세탁소 운영자,창업형태의 선택,"세탁소를 프랜차이즈 형태로 창업하려고 합니다. 가맹계약을 체결해야 하는데, 체결하기 전 확인해야 할 사항에는 무엇이 있나요?","프랜차이즈 계약을 체결하기 전 다음과 같이 정보공개서 및 수익률, 가맹계약서 등을 꼼꼼히 살펴 보아야 합니다.
☞정보공개서를 확인하세요. “정보공개서”란 가맹본부의 사업현황, 임원의 경력, 가맹점사업자의 부담, 영업활동의 조건, 영업개시절차 및 소요시간, 가맹점사업자에 대한 교육·훈련, 가맹계약의 해제·해지 및 갱신 등과 같은 가맹사업에 관한 사항을 수록한 문서를 말합니다.
간혹 정보공개서를 주지 않는 가맹본부가 있으나 가맹본부는 가맹희망자에게 정보제공서를 반드시 제공하도록 의무화 하고 있으므로, 주지 않는 가맹본부의 경우에는 의심을 해보아야 합니다. 또한 가맹본부는 가맹희망자에게 제공할 정보공개서를 공정거래위원회에 등록하도록 되어 있으므로, 받아본 정보공개서와 등록된 정보공개서가 다르지는 않는지 확인해 보세요.
☞계약 전 14일간 심사숙고 하세요. 가맹본부는 정보공개서를 제공한 날부터 14일(가맹희망자가 정보공개서에 대해 변호사 또는 가맹거래사의 자문을 받은 경우에는 7일)이 지나기 전에 가맹희망자와 가맹계약을 체결하거나 가맹금을 수령할 수 없도록 되어 있습니다. 이는 가맹계약 전 심사숙고할 수 있는 시간을 법률로 정해 보호한 것이므로 계약을 서두르지 말고 기한 동안 심사숙고하는 것이 좋습니다.
☞다른 가맹점을 방문해 보세요. 가맹본부는 정보공개서와 함께 가맹희망자의 장래 점포 예정지에서 가장 인접한 10곳의 상호, 소재지 및 전화번호가 적인 문서(인근 가맹점 현황문서)를 제공하도록 되어 있습니다. 그러므로 직접 가망점을 방문해 가맹본부가 약속한대로 사업을 진행하는지, 사업진행상의 문제점은 없는지 문의를 해 보는 것이 좋습니다.
☞예상매출액을 서면으로 받으세요. 가맹본부가 예상매출액, 순이익 등에 관한 정보를 제공할 경우 서면으로 하도록 되어 있습니다. 또한 이 정보의 산출근거가 되는 자료도 가맹본부의 사무소에 비치하도록 되어 있으므로, 이에 대한 내용을 확인한 후 계약을 결정해야 합니다.
☞계약서를 꼼꼼히 확인하세요. 가맹본부는 가맹희망자가 가맹계약의 내용을 미리 이해할 수 있도록 계약서를 가맹희망자에게 제공한 날부터 14일이 지나지 않은 경우에는 가맹희망자로부터 가맹금을 수령하는 행위, 가맹희망자와 가맹계약을 체결하는 행위를 하여서는 안됩니다(「가맹사업거래의 공정화에 관한 법률」 제11조제1항).
☞가맹금의 예치. 사기성 가맹본부로 인한 피해를 막기 위해 가맹금(계약금 포함)을 가맹본부에 직접 지급하는 것이 아니라 일정 기간(계약체결일로부터 2개월) 은행 등 예치기관에 예치하도록 되어 있습니다. 가맹본부에 가맹금이 지급되기 전에 문제가 있다고 판단된다면 신속하게 ① 소송을 제기하거나, ② 분쟁조정협의회에 조정을 신청하거나, ③ 공정거래위원회에 신고하면 됩니다. 이 경우 분쟁의 결과가 나올 때까지 가맹금 지급이 보류됩니다."
소상공인 지원,소상공인 지원 한눈에 보기,소상공인이란 어느 정도 규모의 사업자인가요?,"“소상공인”이란 소기업 중 상시 근로자가 10명 미만인 사업자로서 주된 사업에 종사하는 상시 근로자의 수가 일정 수 미만인 경우를 말합니다. “소상공인”이란 소기업 중 상시 근로자가 10명 미만인 사업자로서 주된 사업에 종사하는 상시 근로자의 수가 다음 어느 하나에 해당하는 사업자를 말합니다(「소상공인 보호 및 지원에 관한 법률」 제2조 및 「소상공인 보호 및 지원에 관한 법률 시행령」 제2조제1항).
· 광업·제조업·건설업 및 운수업의 경우에는 10명 미만
· 그 외 업종의 경우에는 5명 미만"
음식점 운영,음식점 영업자 등의 준수사항,한우 숯불구이 음식점을 운영하고 있는데요. 가격은 어떻게 표시하나요? 별도의 방법이 정해져있나요?,"일정 면적 이상의 음식점 운영자는 음식의 가격을 표시할 때에는 정해진 형식에 따라 최종 가격을 표시해야 해요. 영업장 면적이 150 제곱미터 이상인 휴게음식점 및 일반음식점은 영업소의 외부와 내부에 가격표를 붙이거나 게시해야 해요. 가격표에는 불고기, 갈비 등 식육의 가격을 100그램당 가격으로 표시해야 하며, 조리하여 제공하는 경우에는 조리하기 이전의 중량을 표시할 수 있어요. 100그램당 가격과 함께 1인분의 가격도 표시하려는 경우에는 다음의 예와 같이 1인분의 중량과 가격을 함께 표시해야 해요. 그리고 음식점에서 판매하는 음식물의 가격은 부가가치세를 포함한 최종 가격으로 표시해야 해요."
음식점 창업,업종 선정,감자탕과 술을 함께 파는 식당을 창업하려고 하는데요. 어떤 업종으로 창업해야 하나요?,"음식류를 조리·판매하면서 식사와 함께 부수적으로 주류를 파는 음식점을 창업하려면, 업종을 일반음식점영업으로 신고해야 해요. 음식점 영업의 종류와 그 범위는 다음과 같습니다.
1. 휴게음식점영업 : 주로 다류(茶類), 아이스크림류 등을 조리·판매하거나 패스트푸드점, 분식점 형태의 영업 등 음식류를 조리·판매하는 영업으로서 음주행위가 허용되지 않는 영업
√ 다만, 편의점, 슈퍼마켓, 휴게소, 그 밖에 음식류를 판매하는 장소(만화가게 및 인터넷컴퓨터게임시설제공업을 하는 영업소 등 음식류를 부수적으로 판매하는 장소 포함)에서 컵라면, 일회용 다류 또는 그 밖의 음식류에 물을 부어 주는 경우는 제외합니다.
2. 일반음식점영업 : 음식류를 조리·판매하는 영업으로서 식사와 함께 부수적으로 음주행위가 허용되는 영업
3. 단란주점영업 : 주로 주류를 조리·판매하는 영업으로서 손님이 노래를 부르는 행위가 허용되는 영업
4. 유흥주점영업 : 주로 주류를 조리·판매하는 영업으로서 유흥종사자를 두거나 유흥시설을 설치할 수 있고 손님이 노래를 부르거나 춤을 추는 행위가 허용되는 영업
5. 위탁급식영업 : 집단급식소를 설치·운영하는 자와의 계약에 따라 그 집단급식소에서 음식류를 조리하여 제공하는 영업
6. 제과점영업 : 주로 빵, 떡, 과자 등을 제조·판매하는 영업으로서 음주행위가 허용되지 않는 영업"
인터넷쇼핑몰 창업자,판매제한물품,인터넷쇼핑몰에서 판매가 금지되는 제품(물건)에는 어떤 것이 있나요?,"인터넷쇼핑몰의 경우 상거래가 이루어지는 장소만 다를 뿐 사업장으로서의 성질은 동일하므로 오프라인(off-line)사업과 마찬가지로 판매물품에 제한이 있습니다. 즉, 의약품, 담배, 도수 있는 안경 등과 같은 물품은 판매할 수 있는 요건·자격을 갖추고 있어도 국민건강 및 청소년 보호를 위해 인터넷쇼핑몰에서 판매할 수 없으며, 음란물이나 청소년유해물건 등은 연령확인절차를 거쳐야 하는 등 일반 영업장에서와 마찬가지로 판매에 제한을 받습니다."
청소(업),저수조 청소의 의의 및 대상시설,건축물에 저수조가 있는 경우 청소를 해야 하나요?,"아닙니다. 수돗물을 다량으로 사용하는 건축물 또는 시설로서 「수도법 시행령」 제50조에서 정하는 규모 이상의 건축물 또는 시설의 소유자나 관리자는 급수설비에 대한 소독 및 수질검사, 그 밖의 위생에 필요한 조치를 해야 합니다."
체육시설 설치ㆍ운영,체육시설업이란?,체육시설업의 종류에는 어떤 것이 있나요?,영리를 목적으로 체육시설을 설치·운영하는 업을 체육시설업이라 합니다. 체육시설업은 등록 체육시설업과 신고 체육시설업으로 구분되어 있으며 회원모집 여부에 따라 회원제체육시설업과 대중체육시설업으로 구분됩니다.
커피전문점 창업ㆍ운영,독립창업과 가맹사업 창업,프랜차이즈로 커피전문점을 창업하려고 합니다. 가맹계약을 체결하려고 하는데 계약서에서 반드시 확인해야 할 사항에는 무엇이 있나요?,계약체결은 아무리 신중해도 지나치지 않습니다. 계약서 내용이 조금이라도 부족하다고 생각되면 해당 조항을 수정한 다음에 계약을 체결해야 합니다. 또한 계약서 내용과 정보공개서 내용에 차이가 있는 경우에는 반드시 가맹본부에 확인해야 합니다. 일단 계약서에 서명을 하고 나면 쉽게 계약을 해지할 수 없으며 해지하더라도 위약금을 내는 등 여러 제약이 따르기 때문입니다. 「가맹사업거래의 공정화에 관한 법률」에서는 가맹희망자 또는 가맹자사업자의 권익보호를 위해 가맹계약서에 포함되어야 할 사항을 정하고 있습니다.
펜션 사업자,펜션사업 신고,펜션을 운영하려는 데 사업신고를 따로 해야 하나요?,"「공중위생관리법」에 따른 펜션사업(농어촌민박 이외의 민박 또는 펜션을 말함)을 하려면 시장·군수·구청장(자치구의 구청장에 한함)에게 숙박업 신고를 하고, 영업신고증을 발급받아야 합니다."
프랜차이즈(가맹계약),가맹사업의 개념 및 내용,"회사를 그만두고 사업을 시작해보려고 합니다. 주위에서 프랜차이즈로 음식점을 해보라고 권유하는데, 프랜차이즈가 무엇인가요?","프랜차이즈(프랜차이즈사업)는 체인점을 운영하는 사업자가 프랜차이즈 본부의 상표·상호·간판 등을 사용하여 일정한 품질기준이나 영업방식에 따라서 상품 등을 판매하는 영업을 말합니다. 체인점을 운영하는 사업자는 해당 점포의 경영이나 영업활동 등에 대해 프랜차이즈 본부로부터 지원, 교육 및 통제를 받으며, 상표 등을 사용하고 경영 및 영업활동 등에 대해 지원·교육받는 대가로 프랜차이즈 본부에 가맹금을 지급하는 계속적인 거래관계를 말합니다. 이러한 프랜차이즈에는 패스트푸드점, 제과점, 안경점, 문구점, 스포츠용품점, 학원 등이 있습니다."
피부관리식 창업ㆍ운영,피부관리실의 개념 및 범위,"피부관리실 창업에 관심을 가지고 있는데요. 피부관리실은 구체적으로 어떤 일을 하는지, 다른 미용업과는 영업범위에서 어떤 차이가 있는지 궁금합니다.","피부관리실은 미용업 중 의료기기나 의약품을 사용하지 않는 피부상태분석·피부관리·제모(除毛)·눈썹손질 등의 영업을 하며, 미용업의 영업범위는 면허의 종류에 따라 다릅니다.
◇ 피부관리실의 영업범위
☞ 피부관리실은 미용업 중 의료기기나 의약품을 사용하지 않는 피부상태분석·피부관리·제모(除毛)·눈썹손질 등의 영업을 합니다.
◇ 그 밖의 미용업의 영업범위
☞ 그 밖에 미용업의 영업범위는 다음과 같습니다.
일반미용업 -파마·머리카락자르기·머리카락모양내기·머리피부손질·머리카락염색·머리감기, 의료기기나 의약품을 사용하지 않는 눈썹손질을 하는 영업
네일미용업 - 손톱과 발톱을 손질·화장(化粧)하는 영업
화장·분장 미용업- 얼굴 등 신체의 화장, 분장 및 의료기기나 의약품을 사용하지 않는 눈썹손질을 하는 영업
종합미용업 - 위의 업무를 모두 하는 영업"
학원의 설립ㆍ운영 및 과외교습,학원의 입지 및 시설기준,학원을 차리려고 하는데 학원도 학교처럼 교육환경 유해업소의 제한을 받나요?,"학원도 교육환경 정화대상으로 교육환경 유해업소의 규제를 받습니다.
학교교과교습학원을 설립·운영하는 자는 교육환경을 해칠 우려가 있는 영업소와 동일한 건축물 안에서 학교교과교습학원을 설립·운영해서는 안 됩니다.
① 설립하려는 학원 건물의 연면적이 1,650㎡ 미만일 경우에는 같은 건물에 교육환경 유해업소가 있으면 안 되며, ② 학원 건물의 연면적이 1,650㎡ 이상일 경우에는 가장 외곽벽부터 수평 거리 20m 이내가 되는 같은 층 또는 수평 거리 6m 이내가 되는 바로 위층과 바로 아래층에 교육환경 유해업소가 있으면 안 됩니다.
학교교과교습학원이나 교습소와 동일한 건축물 안에 유해업소를 설치하는 경우 그 영업에 관하여 허가·인가 등을 하는 행정기관의 장은 미리 관할 교육감과 협의하여야 하며, 이 경우 교육감은 협의에 앞서 미리 「교육환경 보호에 관한 법률」 제5조제8항에 따른 지역교육환경보호위원회의 심의를 거쳐야 합니다(「학원의 설립·운영 및 과외교습에 관한 법률」 제5조제3항 및 「학원의 설립·운영 및 과외교습에 관한 법률 시행령」 제4조)."
