cate1,Q,A,paragraph
개인파산ㆍ면책절차,개인파산ㆍ면책 신청서를 제출할 때 필요한 첨부서류는 어떤건가요?,"진술서, 채권자목록, 재산목록, 수입 및 지출에 관한 목록 등의 첨부서류","개인채무자는 파산신청과 동시에 면책신청을 합니다.  파산신청인은 신청서와 함께 진술서, 채권자목록, 재산목록, 수입 및 지출에 관한 목록 등의 첨부서류를 함께 제출해야 합니다. 채무자가 파산신청을 한 경우에는 채무자가 반대의 의사표시를 한 경우를 제외하고, 신청과 동시에 면책신청을 한 것으로 봅니다. 개인채무자는 파산신청과 동시에 면책신청을 합니다. 파산·면책 동시신청의 장점 파산 및 면책 신청서류를 같은 날, 동시에 신청함으로써 개별신청 시 드는 서류 작성의 번거로움도 덜 수 있고, 나아가 개별신청보다 더 신속하게 절차가 진행되는 등 여러 가지로 채무자에게 유리합니다. 개인파산·면책 신청서에는 다음 사항이 기재되어야 합니다. 신청서 양식은 대법원 전자민원센터, 양식모음, 개인파산/면책동시신청서에서 확인하실 수 있습니다. 채무의 변제에 사용할만한 재산이 있거나 부인권 대상 행위가 있는 등 파산절차를 진행할 필요가 있는 경우에는 신청취지 2항 및 신청이유 2항, 3항 중 괄호 부분을 삭제하고 날인해야 합니다. 개인파산·면책 신청 시 다음 서류를 첨부해야 합니다. 다만, 신청과 동시에 첨부할 수 없는 경우에는 그 사유를 소명하고 그 후에 지체 없이 제출해야 합니다. 파산신청 시 채권신고서 및 첨부서류의 부본을 2부 제출해야 합니다."
개인회생절차,개인회생절차는 누가 신청할 수 있나요?,재정적 어려움으로 파탄에 직면한 개인채무자 중 장래에 계속적으로 또는 반복해 수입을 얻을 가능성이 있는 사람,개인회생절차는 재정적 어려움으로 파탄에 직면한 개인채무자 중 장래에 계속적으로 또는 반복해 수입을 얻을 가능성이 있는 사람의 채권자 등 이해관계인의 법률관계를 조정함으로써 채무자의 효율적 회생과 채권자의 이익을 도모하기 위해 마련된 절차입니다. 파산 및 개인워크아웃과는 어떠한 차이가 있나요? 개인회생절차는 다음 조건을 충족해야 신청할 수 있습니다. 개인회생을 신청하면 어떤 불이익이 있나요? 개인회생절차 신청에 대해서는 대한법률구조공단에 문의하시면 자세히 알아보실 수 있습니다.
개인회생절차,어느 경우에 개인회생재단에 속하는 모든 재산은 채무자에게 귀속되나요?,변제계획인가결정이 있는 경우,"법원은 개인회생채권자 또는 회생위원이 이의를 제기하지 않고, 다음 요건이 모두 충족된 경우 변제계획인가결정을 합니다. 다만, 법원의 변제계획안 수정명령에 불응한 경우에는 그렇지 않습니다. 법원은 개인회생채권자 또는 회생위원이 이의를 제기한 경우 이의가 없는 경우의 인가결정 요건 외에 다음 요건을 구비하고 있는 경우에 한해 변제계획인가결정을 할 수 있습니다. 법원은 변제계획인부결정을 선고하고 그 주문, 이유의 요지와 변제계획의 요지를 공고해야 합니다. 이 경우 송달은 하지 않을 수 있습니다. 변제계획은 인가결정이 있은 때부터 효력이 생깁니다. 다만, 변제계획에 따른 권리의 변경은 면책결정이 확정되기까지는 생기지 않습니다. 변제계획인가결정이 있는 경우 개인회생재단에 속하는 모든 재산은 채무자에게 귀속됩니다. 다만, 변제계획 또는 변제계획인가결정에서 다르게 정한 경우에는 그렇지 않습니다. 변제계획인가결정이 있는 경우 개인회생절차개시결정으로 중지된 회생절차 및 파산절차와 개인회생채권에 기한 강제집행 가압류 또는 가처분은 그 효력을 잃습니다. 다만, 변제계획 또는 변제계획인가결정에서 다르게 정한 경우에는 그렇지 않습니다. 변제계획인가결정 후에는 개인회생채권자목록 수정이 불가능합니다. 이해관계를 가진 자는 재판의 공고가 있은 날부터 14일 이내에 서면으로 변제계획인가결정에 대한 즉시항고를 할 수 있습니다. 개인회생절차를 신청하면 연체정보등록에서는 언제 해제되나요?"
건강기능식품,건강기능식품이란 무엇인가요?,인체에 유용한 기능성을 가진 원료나 성분을 사용하여 제조가공한 식품,"건강기능식품이란 인체에 유용한 기능성을 가진 원료나 성분을 사용하여 제조가공한 식품을 말합니다. 여기서 기능성이란 인체의 구조 및 기능에 대하여 영양소를 조절하거나 생리학적 작용 등과 같은 보건 용도에 유용한 효과를 얻는 것을 말합니다. 건강기능식품은 건강을 유지하는데 도움을 주는 식품입니다. 식품의약품안전처는 동물시험, 인체적용시험 등 과학적 근거를 평가하여 기능성원료를 인정하고 있으며, 건강기능식품은 이런 기능성원료를 가지고 만든 제품을 말합니다. 건강기능식품의 안전성 확보 및 품질 향상과 건전한 유통·판매를 도모함으로써 국민의 건강 증진과 소비자 보호에 이바지하기 위해 건강기능식품에 관한 법률이 제정·시행되고 있습니다. 홍삼이 들어가 있는 제품인데, ‘기타 가공품, 액상차, 캔디’이라고 표시되어 있는데요, 건강기능식품과 무엇이 다른 건가요? 홍삼정과, 홍삼캔디, 홍삼과자와 같은 제품은 홍삼 등을 원료로 제조·가공한 식품입니다, ‘건강기능식품’도 홍삼을 원료로 한 제품이 많이 있습니다. 그렇다면, ‘기타가공품·액상차·캔디’와 같은 일반식품과 ‘건강기능식품’에 같은 ‘홍삼’원료를 사용했는데 무엇이 다른가요? 건강기능식품업은 크게 건강기능식품제조업과 건강기능식품판매업으로 나뉘며, 세부종류와 그 범위는 다음과 같습니다. 건강기능식품제조업 또는 건강기능식품판매업을 하려는 자는 건강기능식품 업종별로 기준에 맞는 시설을 갖추어야 합니다. 건강기능식품 영업자는 건강기능식품의 안전성 확보 및 품질관리와 유통질서 유지 및 국민보건의 증진을 위해 안전성 관리 등 건강기능식품에 관한 법률따른 사항을 준수해야 합니다. 건강기능식품 영업자의 준수사항에 대한 자세한 내용은 이 콘텐츠의 영업자 준수사항 등에서 확인할 수 있습니다."
건강기능식품,건강기능식품제조업을 하려는데 누구에게 허가를 받으면 되나요?,지방식품의약품안전청장,"건강기능식품제조업을 하려는 자는 영업소별로 지방식품의약품안전청장의 허가를 받아야 합니다. 영업소의 소재지를 변경하려는 경우에도 허가를 받아야 합니다. 식품의약품안전처장은 다음의 어느 하나에 해당하는 경우를 제외하고는 건강기능식품업의 허가를 해야 합니다. 식품의약품안전처장은 허가 신청을 받은 날부터 20일 이내에, 변경신고를 받은 날부터 7일 이내에 허가 또는 신고수리 여부를 신청인 또는 신고인에게 통지해야 합니다. 식품의약품안전처장이 위 기간 내에 허가 또는 신고수리 여부나 민원 처리 관련 법령에 따른 처리기간의 연장을 신청인 또는 신고인에게 통지하지 않으면 그 기간이 끝난 날의 다음 날에 허가 또는 신고를 수리한 것으로 봅니다. 건강기능식품제조업의 허가를 받아 영업을 하려는 자는 품질관리인을 두어야 합니다. 다만, 영업자가 품질관리인의 자격을 갖추고 품질관리 업무에 종사하고 있는 경우에는 그렇지 않습니다. 품질관리인은 건강기능식품의 제조에 종사하는 사람이 건강기능식품에 관한 법률 또는 건강기능식품에 관한 법률에 따른 명령이나 처분을 위반하지 않도록 지도하여야 하며, 다음의 직무를 수행해야 합니다. 건강기능식품판매업을 하려는 자는 영업소별로 건강기능식품에 관한 법률 제4조에 따른 시설을 갖추고 영업소의 소재지를 관할하는 특별자치시장·특별자치도지사·시장·군수·구청장에게 신고해야 합니다. 다만, 약사법 제20조에 따라 개설등록한 약국에서 건강기능식품을 판매하는 경우는 제외합니다. 건강기능식품제조업의 허가를 받은 자가 건강기능식품을 제조하려는 경우에는 다음의 사항을 지방식품의약품안전청장에게 신고해야 합니다. "
건물관리,건물 관리자는 승강기 점검기록을 어디에 입력해야 하나요?,승강기안전종합정보망,"승강기의 소유자 또는 승강기 관리자로서 승강기를 관리할 책임과 권한이 있는 자 등은 승강기 운행에 대한 지식이 풍부한 자를 안전관리자로 선임하여 해당 승강기를 관리하도록 해야 합니다. 다만, 승강기 관리주체가 직접 승강기를 관리하는 경우에는 선임하지 않아도 됩니다. 승강기 관리주체는 승강기 안전관리자를 선임하거나 직접 승강기를 관리하는 경우에는 3개월 이내에 한국승강기안전공단의 장에게 그 사실을 통보해야 합니다. 승강기의 안전관리자나 승강기 관리주체가 변경된 경우에도 3개월 이내에 공단의 장에게 그 사실을 통보해야 합니다. 승강기 관리주체는 승강기의 안전관리자로 하여금 선임 후 3개월 이내에 공단이 실시하는 승강기의 관리에 관한 교육을 받도록 해야 합니다. 다만, 승강기 관리주체가 직접 승강기를 관리하는 경우에는 관리주체가 승강기관리교육을 받아야 합니다. 한국승강기안전공단 승강기교육센터에서는 온라인 승강기관리교육을 운영하고 있으며, 수강신청 방법 등 자세한 사항은 해당 사이트에서 확인하시기 바랍니다. 승강기 안전관리자 선임 및 변경 통보 등을 하지 않은 자는 100만원 이하의 과태료를 부과 받게 됩니다. 승강기관리교육을 받지 않거나 받게 하지 않은 자는 300만원 이하의 과태료를 부과 받게 됩니다. 승강기 안전관리자는 해당 승강기의 관리를 위하여 다음에 해당하는 업무를 수행해야 합니다. 승강기 관리주체는 승강기 운행의 안전에 관한 점검을 월 1회 이상 실시하고, 그 점검기록을 승강기안전종합정보망에 입력해야 합니다. "
건물관리,건물의 소독관리 적용대상이 궁금합니다.,연면적 2천제곱미터 이상의 사무실용 건물 및 복합용도의 건축물 등이 적용대상입니다.,"건물의 환경과 관련된 분야별 관리주체는 다음과 같습니다. 청소관리, 쓰레기 배출, 각 층 바닥면적의 합계 1천제곱미터 이상 건물 소유자·점유자 또는 관리자. 소독관리, 건물의 소독, 연면적 2천제곱미터 이상의 사무실용 건물 및 복합용도의 건축물 등 관리자. 수도 관리, 수도시설의 위생관리, 연면적 5천제곱미터 이상 건물 등 소유자 또는 관리자. 저수조의 청소 및 수질검사, 연면적 5천제곱미터 이상 건물 등 소유자 또는 관리자. 하수시설 관리, 개인하수처리시설(정화조 포함)의 운영 및 관리, 정화조를 설치한 건물 소유자 또는 관리자. 실내공기질관리, 다중이용시설의 실내공기질 관리, 다중이용시설 소유자 또는 관리자 등. 금연구역 지정 및 흡연실 설치, 연면적 1천제곱미터 이상 건축물 등 소유자·점유자 또는 관리자. 조경관리, 대지 또는 옥상에 설치된 조경시설 관리, 면적 200제곱미터 이상인 대지에 지어진 건축물이나 그 옥상 소유자 또는 관리자. 부담금관리, 교통유발부담금 납부, 인구 10만명 이상의 도시지역에 있는 각 층 바닥면적의 합이 1천제곱미터 이상인 건물. 소유자건물에 설치하는 옥외광고물의 관리주체는 옥외광고허가 또는 신고를 받은 자 또는 설치자입니다. 이와 관련한 더 자세한 사항은 이 콘텐츠 옥외광고물 설치자 콘텐츠에서 확인하실 수 있습니다. 건축물이나 주차수요를 유발하는 시설에는 부설주차장을 설치해야 합니다. 부설주차장 설치 의무 대상 건축물 및 설치 기준 등에 관한 자세한 사항은 이 사이트 부설주차장 설치ㆍ운영 콘텐츠에서 확인하실 수 있습니다."
건설일용 근로자,사업주가 건설일용 근로자를 사망에 이르게 하면 어떻게 되나요?,7년 이하의 징역 또는 1억원 이하의 벌금,"“산업재해”란 근로자가 업무에 관계되는 건설물·설비·원재료·가스·증기·분진 등에 의하거나 작업 또는 그 밖의 업무로 인하여 사망 또는 부상하거나 질병에 걸리는 것을 말합니다. 사업주는 사업을 할 때 다음의 위험을 예방하기 위한 안전조치와 건강장해 예방을 위한 보건조치를 해야 합니다. 안전조치 및 보건조치를 위반한 사업주는 5년 이하의 징역 또는 5천만원 이하의 벌금에 처해지며, 이를 위반하여 건설일용근로자를 사망에 이르게 하면 7년 이하의 징역 또는 1억원 이하의 벌금에 처해집니다. 사업주가 해야 할 안전조치 및 보건조치에 대한 구체적인 사항은 산업안전보건기준에 관한 규칙에서 확인할 수 있습니다. 건설일용근로자는 산업안전보건기준에 관한 규칙에 따른 사업주의 안전조치 및 보건조치 사항을 지켜야 합니다. 사업주는 산업재해가 발생할 급박한 위험이 있을 때 또는 중대재해가 발생하였을 때에는 즉시 작업을 중지시키고 건설일용근로자를 작업장소로부터 대피시키는 등 필요한 안전·보건상의 조치를 한 후 작업을 다시 시작해야 합니다. 이를 위반하면 5년 이하의 징역 또는 5천만원 이하의 벌금에 처해집니다. 사업주는 산업재해가 발생할 급박한 위험이 있다고 믿을 만한 합리적인 근거가 있을 때에는 작업을 중지하고 대피한 건설일용근로자에 대하여 이를 이유로 해고나 그 밖의 불리한 처우를 해서는 안 됩니다."
건설일용 근로자,건설일용근로자의 1주 최대 근로시간은 얼마인가요?,1주 간의 근로시간은 휴게시간을 제외하고 40시간을 초과할 수 없습니다.,"1주 간의 근로시간은 휴게시간을 제외하고 40시간을 초과할 수 없습니다. 1주란 휴일을 포함한 7일을 말합니다. 1일의 근로시간은 휴게시간을 제외하고 8시간을 초과할 수 없습니다. 근로시간을 산정함에 있어 작업을 위하여 근로자가 사용자의 지휘·감독 아래에 있는 대기시간 등은 근로시간으로 봅니다. 상시 30명 미만의 근로자를 사용하는 사용자는 다음 사항에 대해 근로자대표와 서면으로 합의한 경우 1주간 12시간에 더해 1주 간 8시간을 초과하지 않는 범위에서 근로시간을 연장할 수 있습니다. 위 내용은 근로기준법 부칙 제2조에 따라 2022년 12월 31일까지 유효합니다. 사용자는 특별한 사정이 있으면 고용노동부장관의 인가와 건설일용근로자의 동의를 받아 12시간을 한도로 근로시간을 연장할 수 있으며, 사태가 급박하여 고용노동부장관의 인가를 받을 시간이 없는 경우에는 사후에 지체 없이 승인을 받아야 합니다. 이 때 고용노동부장관은 근로시간의 연장이 부적당하다고 인정하면 사용자에게 그 후 연장시간에 상당하는 휴게시간이나 휴일을 건설일용근로자에게 줄 것을 명할 수 있습니다. 위의 법정근로시간 및 연장근로에 관한 규정을 위반하면 2년 이하의 징역 또는 2천만원 이하의 벌금에 처해집니다. 저희 회사는 4명의 근로자가 일하는 사업장입니다. 저희 회사도 법정근로시간이나 연장 근로에 관한 규정이 적용되나요? 근로기준법은 상시 4명 이하의 근로자를 사용하는 사업 또는 사업장에 적용하는 규정을 정하고 있으며, 법정근로시간 및 연장 근로에 관한 규정은 5명 이상의 근로자를 사용하는 경우에만 적용됩니다."
건축법 등 위반건축물(불법건축물),건축법에서 가설건축물의 존치기간은 몇 년 이내인가요?,3년 이내 ,"임시적, 한시적 사용을 목적으로 가설건축물의 존치기간은 3년 이내 이어야 하며, 전기·수도 가스 등 새로운 간선 공급설비의 설치를 필요로 하지 아니하며, 공동주택·판매 시설·운수시설 등으로서 분양을 목적으로 건축하는 건축물이 아닌 것을 말합니다. 도시·군계획시설 및 도시·군계획시설예정지에서 가설건축물을 건축하려는 자는 특별자치시장·특별자치도지사 또는 시장·군수·구청장의 허가를 받아야 합니다. 특별자치시장·특별자치도지사 또는 시장·군수·구청장은 다음의 모두 해당하면 허가를 해야 한다. 재해복구, 흥행, 전람회, 공사용 가설건축물 등 다음에 해당하는 용도의 가설건축물을 축조하려는 자는 존치 기간, 설치 기준 및 절차에 따라 특별자치시장·특별자치도지사 또는 시장·군수·구청장에게 신고한 후 착공해야 합니다."
건축법 등 위반건축물(불법건축물),"베란다를 불법 증축한 경우, 이행강제금은 어떻게 계산하나요?",이행강제금은 「지방세법」에 따라 해당 건축물에 적용되는 1제곱미터의 시가표준액의 100분의 50에 해당하는 금액에 위반면적을 곱한 금액 이하의 범위에서 위반 내용에 따른 비율을 곱한 금액이 됩니다.,"허가권자는 최초의 시정명령이 있었던 날을 기준으로 하여 1년에 2회 이내의 범위에서 해당 지방자치단체의 조례로 정하는 횟수만큼 그 시정명령이 이행될 때까지 반복하여 이행강제금을 부과·징수할 수 있습니다. 허가권자는 이행강제금을 다음에서 정하는 바에 따라 감경할 수 있습니다. 지방자치단체의 조례로 정하는 기간까지 위반내용을 시정하지 아니한 경우는 제외합니다. 허가권자는 법률 제4381호 건축법개정법률의 시행일 이전에 건축법 또는 건축법에 따른 명령이나 처분을 위반한 주거용 건축물에 관하여는 다음의 정하는 바에 따라 건축법 제80조에 따른 이행강제금을 감경할 수 있습니다. 다만, 연면적이 85제곱미터 이하인 주거용 건축물과 제2호 중 주거용 건축물로서 대통령령으로 정하는 경우에는 다음 각 호의 어느 하나에 해당하는 금액의 2분의 1의 범위에서 해당 지방자치단체의 조례로 정하는 금액을 부과한다. 다만, 연면적이 60제곱미터 이하인 주거용 건축물과 제2호 중 주거용 건축물로서 대통령령으로 정하는 경우에는 다음 각 호의 어느 하나에 해당하는 금액의 2분의 1의 범위에서 해당 지방자치단체의 조례로 정하는 금액을 부과한다. 제80조제2항 허가권자는 영리목적을 위한 위반이나 상습적 위반 등 대통령령으로 정하는 경우에 제1항에 따른 금액을 100분의 50의 범위에서 가중할 수 있다. 허가권자는 영리목적을 위한 위반이나 상습적 위반 등 대통령령으로 정하는 경우에 제1항에 따른 금액을 100분의 100의 범위에서 가중할 수 있다. 베란다를 증축한 경우 이행강제금 계산 방법은? 위법한 증축에 대한 이행강제금은 지방세법에 따라 해당 건축물에 적용되는 1제곱미터의 시가표준액의 100분의 50에 해당하는 금액에 위반면적을 곱한 금액 이하의 범위에서 위반 내용에 따른 비율을 곱한 금액이 됩니다.① 시가표준액 계산하기: 1제곱미터당 시가표준액은 1제곱미터당 건물신축가격기준액 × 구조지수 × 용도지수 × 위치지수 × 경과연수별 잔가율 × 가감산 특례 × 기초공사 여부에 따른 산출비율입니다."
결혼이민자ㆍ재외동포,재외동포란 어떤 사람들을 말하나요?,① 재외국민과 ② 외국국적동포,"현행법상 재외동포의 개념은 재외동포의 출입국과 법적 지위에 관한 법률,한국국제보건의료재단법 및 재외동포재단법등에서 다음과 같이 규정하고 있습니다. 이 콘텐츠에서는 개별 법령에서 별도의 범위를 정하고 있는 경우를 제외하고, 기본적으로 재외동포에 관하여 가장 광범위한 규율을 하고 있다고 볼 수 있는 재외동포의 출입국과 법적 지위에 관한 법률에 따라 재외동포를 ① 재외국민과 ② 외국국적동포로 구분하고 있습니다.따라서 재외국민 관련 법령정보는 이 콘텐츠의 재외국민 부분에서, 외국국적동포 관련 법령정보는 외국국적동포 부분에서 확인하시기 바랍니다."
결혼이민자ㆍ재외동포,결혼이민자의 체류자격이 궁금합니다. ,기존의 국내 체류자격을 국민의 배우자에게 주어지는 체류자격인 결혼이민자격,"외국인이 대한민국 국민과 결혼해서 대한민국에 거주하게 되면 대한민국 국민의 배우자로서의 지위를 가지게 됩니다. 따라서 기존의 체류자격을 국민의 배우자에게 주어지는 결혼이민자격으로 변경할 수 있습니다. 외국인이 대한민국 국민과 결혼하게 되면 국민의 배우자로서의 지위를 가지게 됩니다. 따라서, 외국인이 대한민국 국민과 대한민국에서 결혼한 경우에는 기존의 국내 체류자격을 국민의 배우자에게 주어지는 체류자격인 결혼이민자격으로 변경신청할 수 있습니다. 다만, 외국에서 결혼한 경우에는 바로 결혼이민자격 사증으로 입국하게 되므로 별도로 변경신청할 필요가 없습니다. 결혼이민자격을 가질 수 있는 사람은 다음과 같습니다. 결혼이민자격은 대한민국 국민과 결혼한 외국인이 가질 수 있는 체류자격입니다. 결혼이민자격은 취업활동에 제한이 없고, 결혼이민자격으로 2년 이상 대한민국에 체류하면 영주자격으로 변경신청을 할 수 있습니다. 외국인이 결혼이민 에 해당하는 결혼동거 목적의 사증을 발급받기 위해서는 배우자의 초청이 있어야 합니다. 결혼동거 목적의 사증 발급 신청에 대하여 다음의 요건을 갖추었는지 여부를 심사 및 확인을 받게 됩니다. 다만, 초청인과 피초청인 사이에 출생한 자녀가 있는 경우 등 법무부장관이 정하여 고시하는 경우에 해당하면 위의 요건 중 일부에 대한 심사를 면제받을 수 있습니다. 기존의 체류자격을 결혼이민자격으로 변경하려는 경우 체류자격 변경허가의 신청은 본인 또는 대리인이 관할 지방출입국·외국인관서에서 할 수 있습니다. 체류자격 변경허가를 신청하려면 체류자격변경허가신청서를 제출하면 됩니다. 체류자격 변경을 위해 첨부해야할 서류는 사증발급 신청서, 여권, 신원보증서, 결혼이민자 초청장, 초청인의 가족관계증명서 등과 같은 기본 제출서류와 소득요건 및 주거요건 관련서류, 의사소통 관련 제출서류가 있습니다. "
결혼중개업,국제결혼중개업자는 중개사무소별로 얼마 이상의 자본금을 보유해야하나요?,1억원,"국제결혼중개업을 하려는 사람은 ① 한국건강가정진흥원에서 실시하는 교육을 받아야 하며, ② 중개사무소별로 1억원 이상의 자본금을 보유해야 합니다. 또한 이용자의 손해배상책임을 보장하기 위하여 ③ 보증보험에 가입하고, ④ 제2종 근린생활시설 또는 일반업무시설로 기재된 건물에 중개사무소를 확보해야 합니다. 여성가족부장관 또는 특별자치시장·시장·군수·구청장은 결혼중개업자 및 종사자의 전문지식, 윤리의식 및 자질을 향상시키기 위하여 교육을 실시할 수 있으며, 국제결혼중개업의 등록을 하려는 사람은 미리 교육을 받아야 합니다. 2곳 이상의 장소에서 국제결혼중개업을 하려는 사람 또는 천재지변, 본인의 질병·사고 등의 사유로 교육을 받을 수 없는 사람에 대하여는 그 종사자 중 책임자를 지정하여 교육을 받게 해야 합니다. 국제결혼중개업자 및 종사자에게 실시하는 교육내용 및 교육방법은 다음과 같습니다. 교육을 이수한 국제결혼중개업자 및 종사자에게는 수료증을 교부합니다. 결혼중개업자 및 종사자 교육 일정 등에 관한 자세한 사항은 한국건강가정진흥원 홈페이지에서 확인할 수 있습니다. 국제결혼중개업을 등록하려는 사람은 중개사무소별로 1억원 이상의 자본금을 보유해야 합니다. "
결혼중개업,직원을 두고 결혼중개업을 하려고 하는데요. 혹시 결혼중개업을 운영하거나 종사할 수 없는 사람도 있나요?,결격사유에 해당하는 경우,"결혼중개업의 관리에 관한 법률에서 정하고 있는 결격사유에 해당하는 사람은 결혼중개업을 운영하거나 그 업무에 종사할 수 없습니다. 결혼중개업자가 결격사유에 해당하는 경우에 국내결혼중개업자는 영업소 폐쇄, 국제결혼중개업자는 등록취소 처분을 받게 됩니다. 다음의 어느 하나에 해당하는 사람은 결혼중개업을 운영하거나 그 업무에 종사할 수 없습니다. 특별자치시장·시장·군수·구청장은 국내결혼중개업을 운영하거나 그 업무에 종사할 수 없는 결격사유에 해당하는 경우에는 영업소의 폐쇄를 명하여야 합니다. 다만, 법인의 경우 1개월 이내에 결격사유가 있는 임원을 개임한 때는 행정처분을 받지 않습니다. 특별자치시장·시장·군수·구청장은 국제결혼중개업을 운영하거나 그 업무에 종사할 수 없는 결격사유에 해당하는 경우에는 등록을 취소해야 합니다. 다만, 법인의 경우 1개월 이내에 결격사유가 있는 임원을 개임한 때는 행정처분을 받지 않습니다."
경비(업),경비업무를 도급할 경우 얼마나 벌금을 내나요?,3년 이하의 징역 또는 3천만원 이하의 벌금,"누구든지 경비업법 제4조제1항에 따른 허가를 받지 아니한 자에게 경비업무를 도급하여서는 안 됩니다. 이를 위반하면 3년 이하의 징역 또는 3천만원 이하의 벌금에 처해집니다. 또한, 누구든지 집단민원현장에 경비인력을 20명 이상 배치하려고 할 때에는 그 경비인력을 직접 고용하여서는 안 되고, 경비업자에게 경비업무를 도급해야 합니다. 다만, 시설주 등이 집단민원현장 발생 3개월 전까지 직접 고용하여 경비업무를 수행하는 피고용인의 경우에는 그렇지 않습니다. 이를 위반하면 3년 이하의 징역 또는 3천만원 이하의 벌금에 처해집니다. 위 규정에 따라 경비업무를 도급하는 자는 그 경비업무를 수급한 경비업자의 경비원 채용 시 다음의 구분에 해당하는 사람을 그 경비업무를 수급한 경비업자의 경비원으로 채용하도록 관여하거나 영향력을 행사해서는 안 됩니다. 이를 위반하면 3년 이하의 징역 또는 3천만원 이하의 벌금에 처해집니다."
경비(업),호송경비업 허가의 유효기간은 얼마나 되나요?,5년,호송경비업 허가의 유효기간은 허가받은 날부터 5년 입니다. 유효기간이 만료된 후 계속하여 호송경비업을 하고자 하는 법인은 갱신허가를 받아야 합니다. 호송경비업의 갱신허가를 받으려는 호송경비업자는 허가의 유효기간 만료일 30일 전까지 경비업 갱신허가신청서에 허가증 원본 및 정관을 첨부하여 법인의 주사무소를 관할하는 지방경찰청장 또는 해당 지방경찰청 소속의 경찰서장에게 제출해야 합니다. 허가관청은 호송경비업자가 다음 어느 하나에 해당하는 경우에는 그 허가를 취소하여야 합니다. 허가관청은 호송경비업자가 다음 어느 하나에 해당하는 경우에는 행정처분의 기준에 따라 그 허가를 취소하거나 6개월 이내의 기간을 정하여 영업의 전부 또는 일부에 대하여 영업정지를 명할 수 있습니다. 경찰청장 또는 지방경찰청장은 경비업 허가의 취소 또는 영업정지 처분을 하고자 하는 경우에는 청문을 실시해야 합니다. 경비업법 제4조제1항에 따른 허가를 받은 경비업체와 동일한 명칭으로 호송경비업 허가를 받을 수 없습니다. 다음의 사유로 경비업체의 허가가 취소된 경우 허가가 취소된 날부터 10년이 지나지 아니한 때에는 누구든지 허가가 취소된 경비업체와 동일한 명칭으로 호송경비업 허가를 받을 수 없습니다. 위의 사유로 허가가 취소된 법인은 법인명 또는 임원의 변경에도 불구하고 허가가 취소된 날부터 5년이 지나지 아니한 때에는 호송경비업 허가를 받을 수 없습니다.
고객응대 근로자,고객응대 근로자가 산업재해로 인정받을 수 있는 질병은 어떤 것들이 있나요?,"적응장애, 우울병 에피소드, 외상 후 스트레스 장애","고객의 폭언 등으로 인한 업무상 정신적 스트레스가 원인이 되어 발생한 업무상 질병은 업무와 재해 발생 사이에 상당인과관계가 인정되면 업무상 재해로서 산업재해 보상을 받을 수 있습니다. 고객을 응대하는 근로자가 업무와 관련하여 고객 등으로부터 욕설, 폭언, 폭행, 성희롱, 위협 등으로 인해 감정노동과 관련된 스트레스 또는 정신적 충격을 유발할 수 있는 사건으로 인하여 발생한 적응장애, 우울병 에피소드, 외상 후 스트레스 장애는 산업재해로 인정받을 수 있습니다. 업무상 재해에 자세한 사항은 이 사이트 산업재해보상보험 Ⅰ에서 확인하실 수 있습니다."
고객응대 근로자,음식점에서 고객을 응대하는 일을 합니다. 고객이 지속적인 폭언 등을 하고 있다면 사업주에게 어떠한 조치를 요구할 수 있나요?,업무의 일시적 중단 또는 전환 등,"사업주는 고객의 폭언 등으로 인하여 고객응대근로자에게 건강장해가 발생하거나 발생할 현저한 우려가 있는 경우에는 업무의 일시적 중단 또는 전환 등의 필요한 조치를 하여야 합니다. 사업주란 근로자를 사용하여 사업을 하는 자를 말합니다. 고객응대근로자란 주로 고객을 직접 대면하거나 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제2조제1항제1호에 따른 정보통신망을 통하여 상대하면서 상품을 판매하거나 서비스를 제공하는 업무에 종사하는 근로자를 말합니다. 사업주가 고객의 폭언 등으로 인하여 고객응대근로자에게 건강장해가 발생하거나 발생한 현저한 우려가 있는 경우에 필요한 조치를 하지 않으면 1천만원 이하의 과태료가 부과됩니다. 고객응대근로자는 사업주에게 위의 필요한 조치를 요구할 수 있고, 사업주는 고객응대근로자의 요구를 이유로 해고 또는 그 밖의 불리한 처우를 해서는 안 됩니다. 고객의 폭언 등으로 인한 고객응대근로자의 사업주에 필요한 조치 요구를 이유로 해고나 그 밖의 불리한 처우를 한 경우 1년 이하의 징역 또는 1천만원 이하의 벌금에 처해집니다."
고령자 고용,고령자 고용을 위해 실시된 '계속고용제도'는 어떤 것인가요?,"정년을 연장 또는 폐지하거나, 정년의 변경 없이 정년에 도달한 근로자를 계속하여 고용하거나 재고용하는 것","‘계속고용제도’란 고용상 연령차별금지 및 고령자고용촉진에 관한 법률 제19조에 따른 정년을 운영 중인 사업주가 정년을 연장 또는 폐지하거나, 정년의 변경 없이 정년에 도달한 근로자를 계속하여 고용하거나 재고용하는 것을 말합니다. 계속고용 지원은 다음과 같이 실시합니다. 계속고용장려금을 받으려는 사업주는 해당 분기 말일이 속한 달의 다음 달 말일까지 ‘고령자 계속고용장려금 신청서’에 다음의 서류를 첨부하여 관할 지방고용노동관서에제출해야 합니다."
